"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13005","@Web ClientApp Buy And Checkout E2E for ADIDAS ORIGINAL","","2026-05-05","passed","2026-05-05","","ClientAppPO.spec.js","",""
"","14545","@Web ClientApp Buy And Checkout E2E for ZARA COAT 3","","2026-05-05","passed","2026-05-05","","ClientAppPO.spec.js","",""
